Protein A,Protein B,UniProt species A,UniProt species B,UniProt accessions A,UniProt accessions B,UniProt IDs A,UniProt IDs B,Times detected (RIS > 0),avgIS,sumIS,Found in both orientations ,H47_avgIS,H47_sumIS,H47_found in both orientations,H47_times detected (RIS > 0),"Biogrid_all direct evidence (Y2H, reconstituted complex, structure)",Biogrid_all,Hippie,HuRI,Known interaction,Protein A has known interactions,Protein B has known interactions,HPA nuclear A,HPA nuclear B,HPA cytoplasmic A,HPA cytoplasmic B,HPA main locations A,HPA additional locations A,HPA main locations B,HPA additional locations B,HPA shared locations,Youn et al. 2018 (PMID 29395067),NanoBRET,NanoBRET MBU,NanoBRET MBU std ,ENCODE eCLIP data A,ENCODE eCLIP data B,ENCODE eCLIP binding sites A,ENCODE eCLIP binding sites B,Jaccard index,Cobinding prob p(A|B),Cobinding prob p(B|A),Cobinding prob p(A|B) (≤54 nt),Cobinding prob p(B|A) (≤54 nt),Close binding events (≤54 nt) A vs. B,Fraction of close binding events A vs. B,Fraction of close binding events in random data A vs. B,Ratio of fractions A vs. B,Resampling p-value A vs. B,Resampling Wilcoxon p-value A vs. B,Close binding events (≤54 nt) B vs. A,Fraction of close binding events B vs. A,Fraction of close binding events in random data B vs. A,Ratio of fractions B vs. A,Resampling p-value B vs. A,Resampling Wilcoxon p-value B vs. A
RPL7,EHMT2,HUMAN,HUMAN,P18124,Q96KQ7,RL7_HUMAN,EHMT2_HUMAN,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,1,1,0,Cytosol;Endoplasmic reticulum,Nucleoli,Nuclear speckles,Nucleoplasm,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRB2,SARNP,MOUSE,HUMAN,Q60631,P82979,GRB2_MOUSE,SARNP_HUMAN,3,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TXNL4A,MRPL4,HUMAN,HUMAN,P83876,Q9BYD3,TXN4A_HUMAN,RM04_HUMAN,1,0.32,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,N/A,1,N/A,Nuclear membrane;Nucleoplasm,Cytosol,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SMARCB1,FKBP4,HUMAN,MOUSE,Q12824,P30416,SNF5_HUMAN,FKBP4_MOUSE,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,1,0,1,Nucleoplasm,Nucleoli fibrillar center,Cytosol,Nucleoplasm,Nucleoplasm,0,N/A,N/A,N/A,0,1,0,1456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF4E,PSMD4,HUMAN,MOUSE,P06730,O35226,IF4E_HUMAN,PSMD4_MOUSE,1,0.29,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,0,1,1,1,Cytoplasmic bodies;Cytosol,N/A,Nucleoplasm,Cytosol,Cytosol,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNRPB,RPL35,HUMAN,HUMAN,P14678,P42766,RSMB_HUMAN,RL35_HUMAN,1,0.3,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,0,0,1,Nucleoplasm,N/A,Cytosol;Endoplasmic reticulum,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SUGP2,SUCLG1,HUMAN,HUMAN,Q8IX01,P53597,SUGP2_HUMAN,SUCA_HUMAN,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,1,Nucleoplasm,Nuclear bodies,Mitochondria,Plasma membrane,N/A,0,N/A,N/A,N/A,1,0,14449,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BCAS2,KRT81,HUMAN,HUMAN,O75934,Q14533,SPF27_HUMAN,KRT81_HUMAN,2,0.25,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,N/A,1,N/A,Centrosome;Nuclear speckles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RNPC3,PSMD4,HUMAN,MOUSE,Q96LT9,O35226,RNPC3_HUMAN,PSMD4_MOUSE,2,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,0,1,Nucleoplasm,N/A,Nucleoplasm,Cytosol,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TBRG1,RBM17,HUMAN,HUMAN,Q3YBR2,Q96I25,TBRG1_HUMAN,SPF45_HUMAN,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF3L,PRPF3,HUMAN,HUMAN,Q9Y262,O43395,EIF3L_HUMAN,PRPF3_HUMAN,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,0,0,Nucleoli,Nucleoplasm,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
