,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
29,FXR2 Position 1,K562,9,0.611764705882353,0.10358299430051884,66.66666666666666
30,TRA2A Position 1,K562,8,0.5115740740740741,0.17064201431842455,62.5
31,ELAVL1 Position 4,K562,8,0.38152985074626866,0.21709113973458236,62.5
32,ELAVL1 Position 2,K562,8,0.681686046511628,0.1630769230769231,100.0
33,SRSF7 Position 6,K562,8,0.4375,0.08932548874859994,37.5
34,FXR2 Position 5,HepG2,8,0.4147727272727273,0.11578999558363531,62.5
35,FXR2 Position 2,K562,8,0.7350628930817611,0.33108406870171186,87.5
36,DDX6 Position 6,K562,8,0.5574534161490683,0.19071208313820298,62.5
37,TRA2A Position 3,K562,7,0.4894179894179894,0.11726010359550731,71.42857142857143
38,TRA2A Position 4,K562,7,0.5796890184645287,0.08580367934900907,28.57142857142857
39,ELAVL1 Position 6,K562,7,0.32616940581542353,0.04871684968886441,57.14285714285714
40,DDX43 Position 3,K562,7,0.5058524890706529,0.007522965212608724,85.71428571428571
41,IGF2BP1 Position 1,HepG2,7,0.5772298767222626,0.04270584932693974,57.14285714285714
42,ELAC2 Position 2,K562,7,0.5318367346938776,0.0460374000347597,0.0
43,ELAC2 Position 4,K562,6,0.5080128205128205,0.07260495618063365,33.33333333333333
44,IGF2BP1 Position 5,K562,6,0.39481165600568585,0.011402472328082345,33.33333333333333
45,ZC3H11A Position 6,K562,6,0.14414414414414414,0.033630877203943615,50.0
46,IGF2BP1 Position 5,HepG2,6,0.5484848484848485,0.028139765083620566,100.0
47,DROSHA Position 1,HepG2,6,0.3657407407407407,0.22652464494569757,33.33333333333333
48,SRSF7 Position 2,K562,5,0.3362637362637363,0.23487439020273124,80.0
49,DDX6 Position 3,K562,5,0.4807692307692308,0.10416666666666667,20.0
50,FXR2 Position 3,K562,5,0.752808988764045,0.30800588300588305,20.0
51,ELAVL1 Position 1,K562,5,0.5436363636363637,0.14336075205640425,40.0
52,FXR2 Position 4,K562,5,0.36666666666666664,0.052807133386522424,0.0
53,EIF4E Position 3,K562,5,0.34523809523809523,0.09277857584706663,0.0
54,TRA2A Position 6,K562,5,0.6238683127572017,0.04257515201202432,40.0
55,XRCC6 Position 2,K562,5,0.672463768115942,0.4581622308635064,40.0
56,ELAVL1 Position 5,K562,5,0.5461538461538462,0.21857031857031858,20.0
57,ELAC2 Position 6,K562,4,0.46875,0.037447051091409056,75.0
58,ZNF800 Position 5,K562,4,0.6395142180094786,0.06248953064215734,50.0
59,ZC3H11A Position 5,K562,4,0.2638888888888889,0.08248958749530833,50.0
60,RBM5 Position 4,HepG2,4,0.4583333333333333,0.23974358974358972,75.0
61,ELAC2 Position 1,K562,4,0.5034722222222222,0.12561782877316857,0.0
62,FXR2 Position 4,HepG2,4,0.48484848484848486,0.0339457005258892,75.0
63,CDC40 Position 2,HepG2,4,0.5,0.05263157894736842,0.0
64,DDX6 Position 5,K562,4,0.35000000000000003,0.06926820728291316,75.0
65,DDX6 Position 2,K562,3,0.5476190476190477,0.05738304093567251,0.0
66,TRA2A Position 5,K562,3,0.32600732600732596,0.015299175225645814,66.66666666666666
67,ZC3H11A Position 5,HepG2,3,0.5,0.09375,0.0
68,SRSF7 Position 5,HepG2,3,0.5,0.1111111111111111,0.0
