Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Mean	Single Binders Mean	PPI - Single: Mean	Same Pos. PPI Std Dev	Single Binders Std Dev	PPI - Single Std Dev	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	HepG2	HNRNPK-LARP4	4	0.9695123456790122	0.8183409294814282	0.151171416197584	0.02862166741612047	0.28716769794556807	-0.2585460305294476	81	5573
test	xgboost	K562	U2AF1-U2AF2	5	0.8040560267857143	0.6560197261019408	0.1480363006837735	0.3230691875800935	0.36384129890652045	-0.04077211132642694	2240	11026
test	xgboost	HepG2	HNRNPK-U2AF2	2	0.8740869565217391	0.7294658033308842	0.1446211531908549	0.11660243761816484	0.33185663799108217	-0.21525420037291731	23	32664
test	xgboost	K562	APOBEC3C-PCBP1	1	0.7441329639889197	0.6050320767195768	0.1391008872693429	0.16385648884964799	0.41888105469727466	-0.25502456584762667	361	1512
test	xgboost	HepG2	RBFOX2-SF3B4	6	0.9189783464566931	0.7825404216648494	0.1364379247918437	0.08563223233466125	0.30052232509464805	-0.2148900927599868	508	13755
test	xgboost	K562	CSTF2T-NONO	4	0.6954396984924621	0.5690390693590869	0.12640062913337524	0.4098944017521921	0.3652216375915571	0.04467276416063498	199	3417
test	xgboost	HepG2	SRSF9-TAF15	4	0.997375	0.8751844296419651	0.12219057035803493	0.0026887109674836097	0.12822512558918367	-0.12553641462170007	4	1201
test	xgboost	K562	CPSF6-RBM15	4	0.996828125	0.8770000537056928	0.11982807129430717	0.003609149160299459	0.2089961653133655	-0.20538701615306607	32	9310
test	xgboost	K562	FMR1-FXR2	2	0.8915155555555556	0.7750301432291666	0.11648541232638898	0.218544519415577	0.3085901745927257	-0.09004565517714869	3150	7680
test	xgboost	K562	HNRNPK-PCBP1	4	0.701146247240618	0.5993997704667178	0.10174647677390025	0.30486983341820273	0.39305926070500835	-0.08818942728680562	906	3921
test	xgboost	K562	RBM22-TIA1	4	0.8395153846153847	0.7401249834239492	0.0993904011914355	0.10247976424154225	0.33255940275359924	-0.23007963851205698	260	7541
test	xgboost	K562	QKI-RBFOX2	1	0.9851710526315792	0.8869927797833935	0.0981782728481857	0.014899789729964493	0.24198648517767235	-0.22708669544770785	38	1662
test	xgboost	K562	RBFOX2-SF3B4	3	0.8997548350398181	0.8030816737115917	0.09667316132822645	0.09939782769972855	0.3035280044525041	-0.20413017675277556	879	24604
test	xgboost	K562	U2AF1-U2AF2	6	0.7699225111916436	0.6757425260618592	0.09417998512978432	0.3167680909937367	0.3780340077776844	-0.061265916783947716	4691	11607
test	xgboost	K562	IGF2BP2-PCBP1	3	0.8854613095238096	0.792547355163728	0.09291395436008165	0.12011377141100839	0.24606621908883905	-0.12595244767783065	504	3970
test	xgboost	K562	CSTF2T-NONO	6	0.6409342431761788	0.5492331816704583	0.09170106150572044	0.39997984248787743	0.3482598135559436	0.05172002893193384	403	3077
test	xgboost	K562	HNRNPK-U2AF2	5	0.7974130434782608	0.7085687508551101	0.08884429262315074	0.21550409467602785	0.34927712098755836	-0.1337730263115305	23	14618
test	xgboost	K562	IGF2BP2-PCBP1	4	0.9771490683229812	0.8925133920704847	0.08463567625249646	0.03536852468042856	0.1805910785234515	-0.14522255384302293	322	5675
test	xgboost	HepG2	PCBP2-QKI	3	0.6955258620689655	0.6150195498485067	0.08050631222045879	0.1671836981845047	0.3616284897362046	-0.19444479155169989	232	6931
test	xgboost	K562	FXR1-FXR2	3	0.9870214521452145	0.9161450760079312	0.07087637613728337	0.023805582575639774	0.1561606513454617	-0.13235506876982192	909	3026
test	xgboost	K562	FXR1-FXR2	4	0.9898790181180596	0.9245815805595263	0.06529743755853323	0.01322203452310124	0.17190405111497484	-0.1586820165918736	1711	4897
test	xgboost	K562	FMR1-FXR2	4	0.9795159883720931	0.9144505957836846	0.06506539258840849	0.03559244348766157	0.17870108152304814	-0.14310863803538657	2408	5455
test	xgboost	K562	APOBEC3C-PCBP1	2	0.7441329639889198	0.6878363846801346	0.05629657930878518	0.16385648884964799	0.332664437347975	-0.16880794849832703	361	4752
test	xgboost	K562	FXR1-FXR2	2	0.8740929509329648	0.8194396953683556	0.054653255564609204	0.2089615758917655	0.2940111601163073	-0.08504958422454179	2894	6434
test	xgboost	K562	FXR1-FXR2	1	0.8914194690265487	0.8381804495335029	0.05323901949304577	0.19707080748700365	0.2748226858947153	-0.07775187840771167	1130	4716
test	xgboost	HepG2	SF3B4-TAF15	5	0.7705312499999999	0.7196118852459016	0.050919364754098306	0.28958446139642585	0.3317048091439256	-0.04212034774749973	32	15860
test	xgboost	HepG2	RBFOX2-SF3B4	1	0.7378868312757202	0.6976096691267933	0.04027716214892685	0.26310740927597964	0.36687200755811467	-0.10376459828213502	486	12059
test	xgboost	K562	U2AF1-U2AF2	2	0.7276566760695816	0.691379813635067	0.03627686243451467	0.34372960583767065	0.35636861702793027	-0.01263901119025962	4254	10517
test	xgboost	K562	HNRNPK-PCBP1	6	0.814561488673139	0.781872812744842	0.03268867592829705	0.1842976798192511	0.31510972449152375	-0.13081204467227264	618	3829
test	xgboost	HepG2	HNRNPK-LARP4	3	0.8482622950819674	0.8170696479543292	0.03119264712763814	0.13347470442488898	0.2535233351457566	-0.1200486307208676	61	5255
test	xgboost	K562	HNRNPK-PCBP1	2	0.7653228840125393	0.7352935587364264	0.030029325276112906	0.261756965082237	0.2754512908244502	-0.013694325742213187	638	4052
test	xgboost	HepG2	RBFOX2-SF3B4	5	0.7115298507462687	0.7063412265568478	0.005188624189420898	0.2731022446897019	0.3423401369934148	-0.06923789230371291	2077	17969
test	xgboost	K562	FMR1-FXR2	6	0.8412401256732496	0.8363155825589706	0.004924543114278923	0.291596632001155	0.2977961463896136	-0.006199514388458616	3342	5596
test	xgboost	HepG2	U2AF1-U2AF2	2	0.7229694400630915	0.7187334027129837	0.004236037350107802	0.33203945743580443	0.3393028617763854	-0.007263404340580981	5072	27866
test	xgboost	K562	FMR1-FXR2	3	0.9040225694444446	0.903023295649195	0.0009992737952495556	0.17828306118984613	0.22673399985028023	-0.048450938660434095	1440	2919
test	xgboost	HepG2	U2AF1-U2AF2	4	0.672147117657756	0.6717976752069149	0.0003494424508411198	0.3500760235425062	0.35153507428009934	-0.001459050737593115	5499	35401
test	xgboost	K562	RBM22-TIA1	2	0.6006748166259168	0.6004432147890243	0.00023160183689252545	0.4546823383424056	0.38940064619448783	0.06528169214791779	409	12063
