Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
HepG2	xgboost	PCBP2-QKI	3	-1.7923760068728378	0.2408251996588913	232	6931	-2.033201206531729
K562	xgboost	MBNL1-RBFOX2	2	-2.0983202677682256	-0.0069151568730689	163	2947	-2.0914051108951566
K562	xgboost	HNRNPK-PCBP1	1	-2.083814235227275	0.0443037741235314	72	2743	-2.128118009350806
HepG2	xgboost	HNRNPK-QKI	3	-1.839682951841279	0.3656805389267002	231	7107	-2.2053634907679793
K562	xgboost	MBNL1-RBFOX2	3	-2.0261436306760485	0.2974434404535423	291	4945	-2.323587071129591
HepG2	xgboost	PCBP2-RBFOX2	3	-2.3090764060582285	0.1311436399607582	683	10666	-2.440220046018987
HepG2	xgboost	PCBP1-RBFOX2	3	-2.3632196825893343	0.1359787731198116	198	8383	-2.499198455709146
K562	xgboost	CSTF2T-NONO	3	-2.494291730451606	0.1975774872742506	372	4996	-2.6918692177258565
K562	xgboost	IGF2BP2-PCBP1	3	-2.501683475638383	0.3500108074369135	504	3970	-2.8516942830752963
K562	xgboost	PCBP1-RBFOX2	4	-2.9372135099162517	0.3510590845121287	427	4473	-3.2882725944283804
HepG2	xgboost	QKI-RBFOX2	5	-3.316866637692409	0.0585651185245328	254	9496	-3.375431756216942
K562	xgboost	CSTF2T-EWSR1	2	-3.673098822656698	0.0976819140285639	445	3573	-3.770780736685262
HepG2	xgboost	HNRNPK-LARP4	5	-3.723819004188442	0.3270111666634596	160	5684	-4.050830170851901
K562	xgboost	IGF2BP2-PCBP1	1	-4.350738577455505	0.3399949144598948	88	4073	-4.690733491915401
K562	xgboost	RBFOX2-SF3B4	1	-5.115894125976208	0.2038863694207339	221	22532	-5.319780495396942
K562	xgboost	PCBP1-QKI	5	-5.817312982405754	-0.2262627496261973	5	3422	-5.591050232779557
K562	xgboost	GTF2F1-PCBP1	4	-5.796397355165813	-0.1274657203168245	409	3270	-5.668931634848988
K562	xgboost	HNRNPK-QKI	5	-5.817312982405754	-0.1354651413439045	5	4782	-5.68184784106185
HepG2	xgboost	RBFOX2-SF3B4	6	-5.828768031625698	0.1499329604603209	508	13755	-5.978700992086019
K562	xgboost	PCBP1-RBFOX2	3	-5.788402466800209	0.3167498865333613	409	6400	-6.10515235333357
HepG2	xgboost	HNRNPK-U2AF2	4	-6.531366292143405	0.1936474596638866	10	41496	-6.725013751807292
K562	xgboost	DDX42-U2AF2	4	-7.343394597580755	0.1059804810689766	21	14210	-7.449375078649731
K562	xgboost	MBNL1-RBFOX2	5	-9.68622766372706	-0.3732254104846026	212	3746	-9.313002253242457
HepG2	xgboost	HNRNPK-U2AF2	2	-10.600890090588624	0.2066022155188939	23	32664	-10.807492306107518
K562	xgboost	IGF2BP1-PTBP1	2	-10.589100021846926	0.305807130058855	17	10088	-10.894907151905782
K562	xgboost	CPSF6-RBM15	4	-11.056353112544368	0.1490219506393229	32	9310	-11.205375063183691
K562	xgboost	CPSF6-RBM15	5	-13.430357697227477	0.2653984322067595	40	10793	-13.695756129434237
K562	xgboost	HNRNPK-QKI	3	-14.280776087075797	0.1939464897228805	90	4831	-14.474722576798678
K562	xgboost	EWSR1-NONO	2	-14.829044081065067	0.0735268123828936	447	3698	-14.902570893447962
K562	xgboost	PCBP1-QKI	3	-15.605592198357606	0.0316090190725201	90	4130	-15.637201217430126
K562	xgboost	MBNL1-RBFOX2	1	-16.66088939591122	-0.6829501672851472	43	1515	-15.977939228626072
K562	xgboost	HNRNPK-U2AF2	1	-18.3030350312532	0.1536540540033095	44	7501	-18.456689085256507
HepG2	xgboost	CSTF2T-SFPQ	5	-18.39966004360057	0.2279087915545989	16	3397	-18.627568835155166
