Dataset	Cell Line	Model	Total Binding	PPI Category	R2 Value	# Rows	% Dataset
ALL DATA	K562	linear	15	>= 1 Same Pos. PPI	0.13318717133451308	112895	5.013003748152233
TEST ONLY	HepG2	xgboost	3	Single Binders	0.13294546531917717	15037	3.9208886339339264
ALL DATA	HepG2	linear	3	Single Binders	0.13181995263557666	98953	4.750504080652904
TEST ONLY	K562	xgboost	3	Single Binders	0.1305522988319181	16712	4.3071054869719845
TEST ONLY	HepG2	linear	9	Single Binders	0.1299116544804113	9089	2.3699512398633673
TEST ONLY	K562	linear	9	>= 1 Same Pos. PPI	0.1264298142417153	1480	0.38143346820958224
ALL DATA	K562	xgboost	4	>= 1 Same Pos. PPI	0.12634974878569938	6231	0.2766821059811025
TEST ONLY	HepG2	linear	7	Single Binders	0.12303041423970418	10690	2.7874110192693804
TEST ONLY	HepG2	xgboost	6	>= 1 Same Pos. PPI	0.1184409025978106	991	0.25840264921384054
TEST ONLY	K562	linear	14	>= 1 Same Pos. PPI	0.11528592657022418	2227	0.5739542795288781
ALL DATA	K562	xgboost	2	Single Binders	0.11101837830468853	85322	3.7886487957823185
ALL DATA	K562	xgboost	5	>= 1 Same Pos. PPI	0.11063814499441116	8807	0.3910671332652174
ALL DATA	K562	linear	5	>= 1 Same Pos. PPI	0.1039051218823781	8807	0.3910671332652174
ALL DATA	HepG2	linear	8	>= 1 Same Pos. PPI	0.10376146297470268	7347	0.3527124339894383
TEST ONLY	K562	linear	11	Single Binders	0.10347672043498546	6476	1.6690291487332802
ALL DATA	K562	linear	3	Single Binders	0.10295304690964302	99189	4.404400804069905
ALL DATA	HepG2	linear	9	>= 1 Same Pos. PPI	0.10152761466936366	4448	0.21353816610657708
ALL DATA	K562	xgboost	3	>= 1 Same Pos. PPI	0.09807010091771062	3766	0.1672259366273202
ALL DATA	K562	linear	2	Single Binders	0.09285161961061894	85322	3.7886487957823185
TEST ONLY	HepG2	linear	3	Single Binders	0.08959010348647767	15037	3.9208886339339264
TEST ONLY	K562	linear	4	Single Binders	0.08942623707348019	16287	4.19757222751991
ALL DATA	K562	linear	4	>= 1 Same Pos. PPI	0.08866927332443808	6231	0.2766821059811025
TEST ONLY	K562	linear	5	Single Binders	0.08825157798075134	16145	4.160975232597098
TEST ONLY	HepG2	xgboost	9	>= 1 Same Pos. PPI	0.08043635745715538	794	0.20703501864358168
TEST ONLY	HepG2	linear	14	Single Binders	0.07941116004857796	4679	1.220046413392089
TEST ONLY	HepG2	linear	14	>= 1 Same Pos. PPI	0.07543219055929629	987	0.2573596516388099
ALL DATA	HepG2	xgboost	2	Single Binders	0.07223815844862236	80655	3.8720595295247238
ALL DATA	K562	linear	15	Single Binders	0.07177622296156627	164390	7.299594190697069
ALL DATA	HepG2	linear	2	Single Binders	0.07025556471007655	80655	3.8720595295247238
TEST ONLY	K562	xgboost	4	>= 1 Same Pos. PPI	0.06986380660701508	1152	0.29689956444421534
TEST ONLY	HepG2	xgboost	5	>= 1 Same Pos. PPI	0.06641871070615168	594	0.15488513989204974
TEST ONLY	HepG2	linear	11	>= 1 Same Pos. PPI	0.06616040697816117	1567	0.4085943000182525
ALL DATA	HepG2	xgboost	4	>= 1 Same Pos. PPI	0.06333599262180234	3626	0.17407585213634183
TEST ONLY	HepG2	xgboost	2	Single Binders	0.060406369732709964	13814	3.6019921253683087
TEST ONLY	K562	linear	14	Single Binders	0.058112765087011686	5071	1.3069250792505347
TEST ONLY	HepG2	linear	12	>= 1 Same Pos. PPI	0.05679021450150035	527	0.13741493051028655
TEST ONLY	HepG2	xgboost	13	>= 1 Same Pos. PPI	0.04868404478662136	970	0.2529269119449297
TEST ONLY	K562	linear	8	>= 1 Same Pos. PPI	0.04530762925269194	1761	0.4538542821061313
ALL DATA	K562	linear	3	>= 1 Same Pos. PPI	0.04497948432441157	3766	0.1672259366273202
TEST ONLY	K562	linear	3	Single Binders	0.04385340802890403	16712	4.3071054869719845
TEST ONLY	HepG2	linear	2	Single Binders	0.043691347994864516	13814	3.6019921253683087
TEST ONLY	K562	xgboost	2	Single Binders	0.04270200741023367	15060	3.881343264348857
TEST ONLY	K562	linear	2	Single Binders	0.03558483904134091	15060	3.881343264348857
ALL DATA	K562	xgboost	1	Single Binders	0.033125130828797866	58209	2.58471974114171
TEST ONLY	K562	linear	5	>= 1 Same Pos. PPI	0.02825829883223563	2142	0.5520476276384629
ALL DATA	HepG2	xgboost	1	Single Binders	0.026086751130248942	47235	2.267642822851656
TEST ONLY	K562	xgboost	1	Single Binders	0.0217059412428392	10470	2.6983840622664363
ALL DATA	K562	xgboost	2	>= 1 Same Pos. PPI	0.01104544212734515	3616	0.1605653178025464
ALL DATA	K562	linear	10	>= 1 Same Pos. PPI	-0.000979918972330518	10807	0.47987538426220105
TEST ONLY	HepG2	xgboost	1	Single Binders	-0.0026861839499265905	9985	2.6035826966702302
ALL DATA	K562	linear	1	Single Binders	-0.005238547347305111	58209	2.58471974114171
ALL DATA	HepG2	linear	6	>= 1 Same Pos. PPI	-0.005600920603407555	4316	0.2072011521843495
TEST ONLY	HepG2	linear	10	>= 1 Same Pos. PPI	-0.008028223518010913	742	0.19347605016818337
TEST ONLY	K562	linear	1	Single Binders	-0.009533122097943547	10470	2.6983840622664363
ALL DATA	HepG2	linear	4	>= 1 Same Pos. PPI	-0.011766088779918027	3626	0.17407585213634183
ALL DATA	K562	linear	2	>= 1 Same Pos. PPI	-0.01813192952201459	3616	0.1605653178025464
TEST ONLY	K562	linear	15	Single Binders	-0.026541945869065664	24236	6.246230767248266
ALL DATA	HepG2	linear	1	Single Binders	-0.037854137161488444	47235	2.267642822851656
TEST ONLY	K562	linear	6	>= 1 Same Pos. PPI	-0.041058537238797044	1293	0.3332388340506688
TEST ONLY	HepG2	linear	15	Single Binders	-0.06859548390681991	22290	5.81210398685823
ALL DATA	HepG2	linear	3	>= 1 Same Pos. PPI	-0.0693289266101278	1393	0.06687469995199233
TEST ONLY	K562	linear	2	>= 1 Same Pos. PPI	-0.095240155195073	991	0.25540578851060536
TEST ONLY	HepG2	linear	1	Single Binders	-0.11898369461479019	9985	2.6035826966702302
TEST ONLY	K562	xgboost	5	>= 1 Same Pos. PPI	-0.11986387059042447	2142	0.5520476276384629
ALL DATA	HepG2	xgboost	2	>= 1 Same Pos. PPI	-0.14764824338087545	1550	0.0744119059049448
TEST ONLY	K562	xgboost	6	>= 1 Same Pos. PPI	-0.15822922643947512	1293	0.3332388340506688
TEST ONLY	HepG2	linear	9	>= 1 Same Pos. PPI	-0.1710254421562032	794	0.20703501864358168
TEST ONLY	HepG2	linear	15	>= 1 Same Pos. PPI	-0.19015758316584064	9794	2.5537795624625175
ALL DATA	HepG2	xgboost	3	>= 1 Same Pos. PPI	-0.19936297057203078	1393	0.06687469995199233
TEST ONLY	K562	xgboost	2	>= 1 Same Pos. PPI	-0.21353479530382957	991	0.25540578851060536
TEST ONLY	K562	linear	10	>= 1 Same Pos. PPI	-0.22524596873088143	1473	0.3796293909950775
TEST ONLY	HepG2	xgboost	2	>= 1 Same Pos. PPI	-0.2293857092753091	852	0.2221584834815259
TEST ONLY	HepG2	linear	5	>= 1 Same Pos. PPI	-0.2808697889583036	594	0.15488513989204974
TEST ONLY	HepG2	linear	13	>= 1 Same Pos. PPI	-0.2935572950897054	970	0.2529269119449297
TEST ONLY	HepG2	linear	6	>= 1 Same Pos. PPI	-0.3046510764777657	991	0.25840264921384054
ALL DATA	HepG2	linear	2	>= 1 Same Pos. PPI	-0.3773523726845116	1550	0.0744119059049448
TEST ONLY	HepG2	xgboost	10	>= 1 Same Pos. PPI	-0.5066175067067888	742	0.19347605016818337
TEST ONLY	HepG2	linear	2	>= 1 Same Pos. PPI	-0.5126263799822235	852	0.2221584834815259
TEST ONLY	HepG2	xgboost	4	>= 1 Same Pos. PPI	-0.6714530634522671	642	0.1674011107924174
TEST ONLY	K562	linear	15	>= 1 Same Pos. PPI	-0.6975107339133748	17174	4.426174583129301
TEST ONLY	HepG2	linear	4	>= 1 Same Pos. PPI	-0.7320976028335291	642	0.1674011107924174
TEST ONLY	HepG2	linear	3	>= 1 Same Pos. PPI	-0.8499341086870966	53	0.013819717869155954
TEST ONLY	HepG2	xgboost	3	>= 1 Same Pos. PPI	-1.0694446625940093	53	0.013819717869155954
TEST ONLY	K562	xgboost	3	>= 1 Same Pos. PPI	-1.1302759306048356	492	0.1268008556480503
TEST ONLY	K562	linear	3	>= 1 Same Pos. PPI	-1.4582789672464518	492	0.1268008556480503
TEST ONLY	HepG2	xgboost	7	>= 1 Same Pos. PPI	-1.8862611733016972	559	0.14575891111053166
TEST ONLY	K562	xgboost	12	>= 1 Same Pos. PPI	-2.9901556291003466	1176	0.3030849720368032
TEST ONLY	HepG2	linear	7	>= 1 Same Pos. PPI	-5.937633677830434	559	0.14575891111053166
TEST ONLY	K562	linear	12	>= 1 Same Pos. PPI	-7.7746904078179835	1176	0.3030849720368032
