Data Partition	Model	Cell Line	RBP Pair	Position	RBP 1 Same Pos. PPI Mean	RBP 1 Single Binders Mean	RBP 1 PPI - Single: Mean	RBP 2 Same Pos. PPI Mean	RBP 2 Single Binders Mean	RBP 2 PPI - Single: Mean	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	K562	DDX42-U2AF2	6	0.6394129	0.001811632081157519	0.6376012679188424	0.014344551000000002	0.05226309280234787	-0.03791854180234787	3	15414
test	xgboost	K562	EWSR1-HNRNPK	3	0.15502429	0.05073449473442682	0.10428979526557319	0.011278321	0.020800207363450056	-0.009521886363450057	3	5426
test	xgboost	K562	EWSR1-NONO	1	0.023083308557288126	0.008468416537884216	0.01461489201940391	0.08612959904538978	0.002570875767711634	0.08355872327767815	295	1831
test	xgboost	K562	EWSR1-NONO	2	0.015498533001118567	0.002477652343734846	0.01302088065738372	0.07360385154362416	0.12348548489653163	-0.049881633352907476	447	3698
test	xgboost	K562	EWSR1-NONO	3	0.1359787944404762	0.06557462967348597	0.07040416476699023	0.005859901418616071	0.006347505507721565	-0.0004876040891054938	672	2708
test	xgboost	K562	EWSR1-NONO	4	0.04541849994130926	0.03792854757139304	0.007489952369916224	0.1681316565665914	0.21611529704469326	-0.04798364047810186	443	2412
test	xgboost	K562	EWSR1-NONO	5	6.597385990655738e-05	2.205613554743417e-05	4.3917724359123206e-05	0.006918727987213114	0.004860036418065495	0.0020586915691476184	610	2962
test	xgboost	K562	EWSR1-NONO	6	0.00083016121	0.001638006912131534	-0.000807845702131534	0.004694838386216224	0.020353057849634978	-0.015658219463418756	370	2001
test	xgboost	K562	EWSR1-RBM15	1	0.022770854000000004	0.0030586411362215292	0.019712212863778476	0.11080574	0.07856106577157147	0.03224467422842853	7	7525
test	xgboost	K562	EWSR1-RBM15	2	0.014039061565116258	0.0015399064406607297	0.012499155124455529	0.12763448023255802	0.05519289518074612	0.0724415850518119	43	16539
test	xgboost	K562	EWSR1-RBM15	3	0.10791236208791201	0.05040207140527897	0.05751029068263304	0.010048268340659354	0.020900023682746783	-0.010851755342087429	91	5359
test	xgboost	K562	EWSR1-RBM15	6	0.00022852419	0.0002637422636154424	-3.521807361544238e-05	0.041741524	0.06966167500469518	-0.02792015100469518	3	13981
test	xgboost	K562	FMR1-FXR2	1	0.15383910399477058	0.03657559237635702	0.11726351161841356	0.009743636002470114	0.0035694731301917355	0.006174162872278378	1874	3025
test	xgboost	K562	FMR1-FXR2	2	0.0207646592339746	0.007353272794049362	0.01341138643992524	0.003975951329338094	0.0032355906753546745	0.0007403606539834197	3150	7680
test	xgboost	K562	FMR1-FXR2	3	0.028139916827902775	0.020791067627759164	0.007348849200143611	0.22467203831319446	0.14009156320185595	0.08458047511133851	1440	2919
test	xgboost	K562	FMR1-FXR2	4	0.5948696377574749	0.35440858345171805	0.24046105430575687	0.6326690105107973	0.42004143936401683	0.21262757114678044	2408	5455
test	xgboost	K562	FMR1-FXR2	5	0.004949269424966598	0.005729092734239562	-0.0007798233092729647	0.031677221258941415	0.012629760278510491	0.019047460980430926	1946	4527
test	xgboost	K562	FMR1-FXR2	6	0.011325665345647455	0.005703584142284328	0.005622081203363128	0.006263818967752841	0.002861290339390457	0.0034025286283623844	3342	5596
test	xgboost	K562	FXR1-FXR2	1	0.09230338668734513	0.012822467018835876	0.07948091966850925	0.006161478736035398	0.004413191770723494	0.0017482869653119041	1130	4716
test	xgboost	K562	FXR1-FXR2	2	0.029688906434039392	0.009809303913355145	0.01987960252068425	0.004380994271032481	0.0031671644039412334	0.0012138298670912478	2894	6434
test	xgboost	K562	FXR1-FXR2	3	0.012248646304606932	0.0015045472547455916	0.01074409904986134	0.19565653406710676	0.1839242083592135	0.01173232570789326	909	3026
test	xgboost	K562	FXR1-FXR2	4	0.8749390137171245	0.3440237182396324	0.530915295477492	0.6091437019403856	0.5617725766259138	0.04737112531447174	1711	4897
test	xgboost	K562	FXR1-FXR2	5	0.1405748694791386	0.04792837279994676	0.09264649667919185	0.034971527706056514	0.021935503070234	0.013036024635822513	743	4188
test	xgboost	K562	FXR1-FXR2	6	0.03021651105796038	0.009918113772026131	0.02029839728593425	0.00905736141959648	0.0044622497556305795	0.004595111663965901	1363	6161
test	xgboost	K562	GTF2F1-PCBP1	3	0.28875357328571444	0.07257106118424618	0.21618251210146827	0.16306251803571453	0.08943764926825822	0.07362486876745632	112	5565
test	xgboost	K562	GTF2F1-PCBP1	4	1.3352497491442537e-05	0.0018812601854371563	-0.0018679076879457139	0.2949122913447433	0.05664823487730275	0.23826405646744053	409	3270
test	xgboost	K562	HNRNPK-LARP4	2	0.028600335403433486	0.10458322562245873	-0.07598289021902524	0.0	0.0	0.0	233	1999
test	xgboost	K562	HNRNPK-PCBP1	1	0.026552594555555562	0.012092418199008387	0.014460176356547175	0.12147870104166664	0.04760712908841962	0.07387157195324702	72	2743
test	xgboost	K562	HNRNPK-PCBP1	2	0.05087296137931035	0.04554141070013574	0.00533155067917461	0.3524504638557994	0.13536869690055528	0.21708176695524414	638	4052
test	xgboost	K562	HNRNPK-PCBP1	3	0.057032321664400476	0.014620957266181395	0.04241136439821908	0.21389752647589608	0.07257313730170183	0.14132438917419426	809	4719
test	xgboost	K562	HNRNPK-PCBP1	4	0.135513338995585	0.15023249374855904	-0.014719154752974056	0.19959300756070647	0.03226499141629941	0.16732801614440707	906	3921
test	xgboost	K562	HNRNPK-PCBP1	5	0.0002229290312077295	0.000490271648886523	-0.0002673426176787935	0.0005525811399758454	0.0005778242608420265	-2.5243120866181093e-05	414	3336
test	xgboost	K562	HNRNPK-PCBP1	6	0.009318355402750812	0.004137659873290676	0.005180695529460136	0.004545704794983822	0.003280594487273962	0.00126511030770986	618	3829
test	xgboost	K562	HNRNPK-QKI	3	0.08555391059999985	0.021453119707431172	0.06410079089256868	0.0005863768609999996	0.0014980561022946597	-0.0009116792412946601	90	4831
test	xgboost	K562	HNRNPK-QKI	5	0.00018600386	0.00014876921054736512	3.7234649452634876e-05	0.011086586	0.006108225038299037	0.004978360961700964	5	4782
test	xgboost	K562	HNRNPK-U2AF2	1	0.008423599000000002	0.004974782100440075	0.003448816899559927	0.002681834999999997	0.016737472354788157	-0.01405563735478816	44	7501
test	xgboost	K562	HNRNPK-U2AF2	3	0.01557240214285714	0.01072356841936013	0.004848833723497011	0.09815791942857144	0.03232161270222252	0.06583630672634891	7	11096
test	xgboost	K562	HNRNPK-U2AF2	5	0.0002414440500000001	8.010605448490833e-05	0.00016133799551509175	0.030228873999999996	0.020835380190700505	0.009393493809299491	23	14618
test	xgboost	K562	HNRNPK-U2AF2	6	0.007400376299999998	0.0015012281970067482	0.00589914810299325	0.10918387276923078	0.046666889381894255	0.06251698338733652	13	17486
test	xgboost	K562	IGF2BP1-PTBP1	2	0.03451396117647059	0.065712739880681	-0.031198778704210416	0.0011661721	0.0010537636530140763	0.00011240844698592379	17	10088
test	xgboost	K562	IGF2BP2-PCBP1	1	0.0025159035272727275	0.0053132836329594915	-0.002797380105686764	0.15755881728409085	0.03088870580101399	0.12667011148307686	88	4073
test	xgboost	K562	IGF2BP2-PCBP1	2	0.011181848292978212	0.020646105187624733	-0.00946425689464652	0.22677822020338972	0.07638374694319032	0.1503944732601994	413	8959
test	xgboost	K562	IGF2BP2-PCBP1	3	0.21438758627579363	0.10528963252843164	0.10909795374736199	0.182293184436508	0.10661338956689168	0.07567979486961632	504	3970
test	xgboost	K562	IGF2BP2-PCBP1	4	1.1875273577639753	0.7791603871667312	0.40836697059724414	0.09140071370807455	0.048979912806646694	0.04242080090142786	322	5675
test	xgboost	K562	IGF2BP2-PCBP1	5	0.0533864969543333	0.05004670290520787	0.003339794049125426	0.0005551208412666667	0.0005362541926093304	1.8866648657336264e-05	300	3151
test	xgboost	K562	IGF2BP2-PCBP1	6	0.019162033511035646	0.03553807313840431	-0.016376039627368666	0.004313029536162988	0.0019321382912011937	0.002380891244961794	589	7039
test	xgboost	K562	IGF2BP2-PTBP1	2	0.05408308652631579	0.026406407977553534	0.027676678548762258	0.0011398069999999998	0.001569266908904803	-0.0004294599089048031	19	6912
test	xgboost	K562	IGF2BP2-PTBP1	3	0.045604452000000004	0.11497152720795156	-0.06936707520795156	0.25805467	0.11173038286810993	0.14632428713189005	11	4566
