Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Rows	Single Binders Rows	Actual PSI Mean - PPI 	Actual PSI Mean - Single Binders	Actual PSI Mean Difference: PPI vs Single Binders	Actual PSI Std Dev - PPI	Actual PSI Std Dev - Single Binders	Actual PSI Std Dev Difference: PPI vs Single Binders	Global SHAP RBP 1 - PPI	Global SHAP RBP 1 - Single Binders	Global SHAP RBP 1 Difference: PPI vs Single Binders	Global SHAP RBP 2 - PPI	Global SHAP RBP 2 - Single Binders	Global SHAP RBP 2 Difference: PPI vs Single Binders	Local SHAP: RBP 1 PPI vs RBP 1 Only Welch's T-test Stat	Local SHAP: RBP 1 PPI vs RBP 1 Only Welch's T-test P-value	Local SHAP: RBP 1 PPI vs RBP 1 Only Mann Whitney U Stat	Local SHAP: RBP 1 PPI vs RBP 1 Only Mann Whitney U P-value	Local SHAP: RBP 2 PPI vs RBP 2 Only Welch's T-test Stat	Local SHAP: RBP 2 PPI vs RBP 2 Only Welch's T-test P-value	Local SHAP: RBP 2 PPI vs RBP 2 Only Mann Whitney U Stat	Local SHAP: RBP 2 PPI vs RBP 2 Only Mann Whitney U P-value	PPI vs Single Binders PSI Welch's T-test Stat	PPI vs Single Binders PSI Welch's T-test P-value	PPI vs Single Binders PSI Welch's T-test FDR BH	PPI vs Single Binders PSI Mann Whitney U Stat	PPI vs Single Binders PSI Mann Whitney U P-value	PPI vs Single Binders PSI Mann Whitney U FDR BH
test	xgboost	HepG2	PCBP2-RBFOX2	1	49	3141	0.017724489795918362	0.7622285896211397	-0.7445040998252214	0.012322938140791292	0.34627066558516567	-0.3339477274443744	0.009272924999999991	0.013630463114731617	-0.004357538114731626	0.2599238383673471	0.1269888340229863	0.1329350043443608	14.860008814212243	2.5800476121492738e-46	42483.0	0.00023772694938558142	42.40073288066993	1.133402155754643e-273	73544.0	4.5087563657874025e-15	-115.88723733277149	0.0	0.0	4379.5	7.874353597263332e-30	3.0254095400011747e-29
test	xgboost	HepG2	PCBP2-RBFOX2	3	683	10666	0.8433345534407027	0.6116552128258017	0.23167934061490103	0.11944551024914496	0.3373333205187768	-0.21788781026963183	0.008591966262518302	0.004895321859588544	0.003696644402929758	0.05158099005270863	0.08162307487445435	-0.030042084821745717	-17.44420790433125	3.524407049604296e-65	555298.5	1.0583398918509609e-89	27.982651805066148	1.3134340761543867e-122	3867187.0	3.6198169560097643e-109	41.24138974428623	1.15200782285075e-250	5.256035691756547e-250	4769992.0	4.999383605796479e-42	2.7033703942455033e-41
test	xgboost	HepG2	PCBP2-RBFOX2	5	78	9223	0.6424615384615385	0.6963324297950775	-0.05387089133353895	0.46626924784775525	0.3239869706038221	0.14228227724393316	0.07357429957692316	0.027691663283663667	0.04588263629325949	0.0014417094737179462	0.007485009110369944	-0.006043299636651998	1.4269849538110186	0.15702364031370966	130575.0	0.16157316849508907	20.31671287064493	2.9407943035801016e-85	328129.5	2.2313825964558058e-08	-1.0183095871351828	0.3116939982911797	0.3346126746361194	397614.0	0.10835152410958365	0.11894227458646026
test	xgboost	HepG2	PTBP1-QKI	4	36	6302	0.20119444444444445	0.4603768644874644	-0.25918242004301995	0.2905264993514306	0.35061701965054515	-0.06009052029911455	0.0011055191000000002	0.015900147743506825	-0.014794628643506825	0.4524108499999999	0.3161797253298001	0.13623112467019982	87.86547391172768	0.0	51282.0	9.196950765118903e-22	-25.663587960846474	3.174969049383616e-136	72954.0	0.10683450152899338	-5.330548126029899	5.6311037818875205e-06	7.0874237254791205e-06	63218.0	4.492846374624173e-06	6.247195911382183e-06
test	xgboost	HepG2	QKI-RBFOX2	1	24	3500	0.9695625	0.6842724285714286	0.28529007142857143	0.11677424452670465	0.37070389275595367	-0.253929648229249	0.04544549933333334	0.013280542426556855	0.03216495690677648	0.2610933645833333	0.11577754863528571	0.1453158159480476	-7.870877401216877	5.168979131264587e-09	12353.0	0.0009547858495637144	19.671378075343114	5.3274435733406314e-21	36126.0	7.680982497979841e-08	11.575379266604244	8.023507774665165e-12	1.1156496524772514e-11	73171.5	3.490296470392374e-10	5.479390157820286e-10
test	xgboost	HepG2	QKI-RBFOX2	3	291	11125	0.5926374570446735	0.614031011235955	-0.021393554191281527	0.45023921037338477	0.33697116108586056	0.11326804928752421	0.14670594816151203	0.05915247945078292	0.08755346871072911	0.07645763058075603	0.07939255415025114	-0.00293492356949511	9.26833706947917	3.5579568297059055e-18	599542.5	1.879499259316055e-14	12.362611619775011	8.995082703914343e-29	1675773.5	6.721916589639133e-41	-0.8046881407665694	0.42163997982983337	0.4397102646796834	1656875.0	0.4914064142378014	0.5017156397113217
test	xgboost	HepG2	QKI-RBFOX2	4	330	9405	0.3685409090909091	0.5594364699627857	-0.19089556087187665	0.2676989797554129	0.35127803148073267	-0.08357905172531976	0.5043163543030303	0.19738761995045193	0.3069287343525784	0.13546079202727257	0.05537812937869866	0.08008266264857392	-22.088576796385404	1.258969504868172e-72	259821.5	4.905639051025782e-87	11.084602723686867	1.317516720980034e-24	1181169.5	7.152550689768798e-45	-12.57962263824966	1.863064655354769e-30	2.989092743756003e-30	1015292.0	1.1089194707881593e-26	3.679596425797074e-26
test	xgboost	HepG2	QKI-RBFOX2	5	254	9496	0.8844881889763778	0.6697887531592249	0.2146994358171529	0.11803072830570527	0.3205851083807814	-0.20255438007507615	0.1283980502559056	0.052256154265252736	0.07614189599065285	0.0013655026456692906	0.007160771234486625	-0.005795268588817334	0.9422175506405097	0.34695173821890013	603893.0	4.0319948402763615e-21	21.578690412898055	1.4743993172181003e-99	1227128.0	1.123185682761917e-62	26.493908875427145	8.662869325773014e-87	1.9458137254813233e-86	1613119.5	3.706640639471795e-20	8.871631694473476e-20
test	xgboost	HepG2	RBFOX2-SF3B4	1	486	12059	0.7378868312757202	0.6976096691267933	0.04027716214892685	0.26310740927597964	0.36687200755811467	-0.10376459828213502	0.18495886265432093	0.028797826373198773	0.15616103628112216	0.05019383223662553	0.03708965762701706	0.013104174609608471	-19.51847641623144	1.1044801761579545e-67	128839.0	4.122496450461673e-91	16.563679576018398	1.4452371336346704e-51	3353028.0	1.1235303040892487e-27	3.2498421667435666	0.0012234985500968935	0.0014762875067284831	3025576.5	0.22370813097756648	0.24130090260796427
test	xgboost	HepG2	RBFOX2-SF3B4	2	143	19719	0.3213146853146854	0.7024286221410821	-0.38111393682639677	0.43870184089579345	0.33494585332101984	0.10375598757477361	0.0665140695804196	0.007799940867042386	0.05871412871337721	0.02852701108881119	0.035410484220707285	-0.006883473131896096	-19.03966647773482	2.3758207894564355e-43	53869.0	5.1160098780347747e-54	1.184985774382757	0.23796477030834925	1676702.0	7.308535463440321e-18	-10.366624891490911	3.920188753488479e-19	5.8402812041767145e-19	780108.5	3.009610110076664e-20	7.323384601186548e-20
