Cell Line	Model	RBP Pair	Position	PPI Category	R2 Value	# Unique Graphs	% Unique Graphs
K562	xgboost	FXR1-FXR2	3	Neither	0.2349790549280616	211218	54.58802732270095
K562	xgboost	HNRNPK-LARP4	2	Neither	0.23497062965269033	211222	54.58906109874887
K562	xgboost	RBFOX2-SF3B4	1	Neither	0.23494615983577205	208982	54.01014651191039
K562	xgboost	MBNL1-RBFOX2	1	Neither	0.23494417394709766	211230	54.59112865084472
K562	xgboost	MBNL1-RBFOX2	3	Neither	0.2349431051445433	211229	54.59087020683274
K562	xgboost	U2AF1-U2AF2	1	Neither	0.23494119640384037	211229	54.59087020683274
K562	xgboost	MBNL1-RBFOX2	2	Neither	0.23493970900528438	211231	54.5913870948567
K562	xgboost	EWSR1-NONO	5	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	HNRNPK-PCBP1	2	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	CSTF2T-EWSR1	3	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	CSTF2T-EWSR1	1	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	HNRNPK-PCBP1	5	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	QKI-RBFOX2	3	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	CSTF2T-NONO	2	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	PCBP1-QKI	3	Neither	0.23493970900528405	211231	54.5913870948567
K562	xgboost	CSTF2T-EWSR1	2	Neither	0.23493970900528394	211231	54.5913870948567
K562	xgboost	CSTF2T-TAF15	3	Neither	0.23493970900528394	211231	54.5913870948567
K562	xgboost	PCBP1-RBFOX2	6	Neither	0.23493970900528394	211231	54.5913870948567
K562	xgboost	EWSR1-RBM15	2	Neither	0.23493970900528394	211231	54.5913870948567
K562	xgboost	EWSR1-NONO	3	Neither	0.23493970900528394	211231	54.5913870948567
K562	xgboost	EWSR1-NONO	6	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	EWSR1-NONO	4	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	HNRNPK-PCBP1	3	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	EWSR1-NONO	1	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	HNRNPK-PCBP1	1	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	CSTF2T-EWSR1	5	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	EWSR1-NONO	2	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	CSTF2T-EWSR1	6	Neither	0.23493970900528383	211231	54.5913870948567
K562	xgboost	HNRNPK-U2AF2	1	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	DDX42-U2AF2	4	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	CSTF2T-EWSR1	4	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	DDX42-RBFOX2	3	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	HNRNPK-QKI	3	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	CSTF2T-NONO	6	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	HNRNPK-U2AF2	5	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	CSTF2T-NONO	4	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	MBNL1-RBFOX2	4	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	CSTF2T-NONO	3	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	CSTF2T-NONO	5	Neither	0.23493970900528371	211231	54.5913870948567
K562	xgboost	PCBP1-RBFOX2	3	Neither	0.23493970900528371	211231	54.5913870948567
